"","x"
"1","Rgs8"
"2","Ier5"
"3","C130074G19Rik"
"4","Klhdc8a"
"5","Syt2"
"6","Acadl"
"7","Mmp24"
"8","Rapgef4"
"9","Etl4"
"10","Slc25a25"
"11","Plcb1"
"12","Gpsm1"
"13","Pkp4"
"14","Gria3"
"15","Gria2"
"16","Rpl22l1"
"17","Slc29a4"
"18","Fscn1"
"19","Tspan9"
"20","Slc8a2"
"21","Cacng3"
"22","Atp2b1"
"23","Syde1"
"24","Ptbp1"
"25","Gng7"
"26","Lzts1"
"27","Ank1"
"28","Dbndd1"
"29","Cdhr1"
"30","Fbxo9"
"31","Arhgap32"
"32","Nrgn"
"33","Tmem108"
"34","Arpp21"
"35","Cabp7"
"36","Grin2c"
"37","Pde1b"
"38","Efr3a"
"39","Dexi"
"40","Hdgfl2"
"41","Mtcl1"
"42","Sema4g"
"43","Kcnip2"
"44","Trpm3"
